Trinidad and Tobago,TTO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,17.03128576
Tunisia,TUN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.580100411
Turkey,TUR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.108009911
Tuvalu,TUV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.950479992
Tanzania,TZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.155818272
Uganda,UGA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.118723959
Ukraine,UKR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.874332835
Upper middle income,UMC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.679705031
Uruguay,URY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.869452111
United States,USA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,17.43419587
Uzbekistan,UZB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.290955942
St. Vincent and the Grenadines,VCT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.309255496
"Venezuela, RB",VEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.026735216
British Virgin Islands,VGB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Virgin Islands (U.S.),VIR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Vietnam,VNM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.698806226
Vanuatu,VUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.550343753
World,WLD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.483162516
Samoa,WSM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.021813019
Kosovo,XKX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
"Yemen, Rep.",YEM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.036067859
South Africa,ZAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.300179118
Zambia,ZMB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.194032244
Zimbabwe,ZWE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.772579157
